Mes,W_potential_Norte,adoption_rate_Norte,adopters_Norte,W_potential_Centro,adoption_rate_Centro,adopters_Centro,W_potential_Sur,adoption_rate_Sur,adopters_Sur
149,8631.585333164508,238.50873001830305,40398.553492777806,13777.246188726378,421.25158886194913,143260.02427450428,4486.373510730143,131.8705136614837,31928.358018203766
150,8451.706477467971,234.62795197783183,40635.11832560855,13461.508841661165,412.5245778719335,143676.89484986817,4377.479331613634,129.11646656150543,32058.847364767953
151,8275.716874850992,230.78499589262856,40867.821654315376,13154.411701257732,403.9942000467012,144085.13817120355,4271.318286574317,126.40989903991978,32186.606618159673
152,8103.611977165397,226.982888881672,41096.70216822609,12855.823741057235,395.6603452791284,144484.9492942866,4167.8564392202015,123.75160749421524,32311.68336296095
153,7935.348482937922,223.2236599652885,41321.80153024575,12565.546859847684,387.5208263384617,144876.5231899317,4067.0447760657576,121.14191769476544,32434.125945717864
154,7770.8564008832645,219.50858964962006,41543.16400897869,12283.338517348782,379.5719915935091,145260.05406136243,3968.8240607361304,118.58080369579984,32553.98330004211
155,7610.113794020139,215.83997997530557,41760.83450189924,12009.052604141467,371.81273824782954,145635.73106065206,3873.1548681902314,116.06868703280367,32671.30402584692
156,7453.079965596979,212.21958761436494,41974.85995699054,11742.513163607186,364.24094647896743,146003.74182323017,3779.9907872066474,113.60573273210188,32786.13702400589
157,7299.679501699129,208.64821908511007,42185.2896855812,11483.484143441456,356.8525976691647,146364.2733510695,3689.2720197230456,111.19167255585619,32898.53163778403
158,7149.869515312865,205.1273526589153,42392.173565438716,11231.796088785199,349.6454145468376,146717.5081658244,3600.9523901000907,108.82653350625779,33008.53682832294
159,7003.626431247018,201.65884422173428,42595.56217253106,10987.321008862189,342.6181725289733,147063.62488441585,3514.9940606212226,106.51050564401943,33116.201224637625
160,6860.880409307805,198.24331313630466,42795.50830911208,10749.84848280292,335.7671178784122,147402.80189181172,3431.341212817865,104.24322529443866,33221.57381703504
161,6721.54488722288,194.88084537315794,42992.066208174736,10519.141286776916,329.08755865440787,147735.21567357966,3349.93190737746,102.0240927991302,33324.703598742424
162,6585.610346251269,191.57335031342478,43185.28896277424,10295.11196432693,322.5790330829666,148061.0354211634,3270.7357289139495,99.85331794862554,33425.63840731166
163,6453.0302536540075,188.3217294678103,43375.23129884971,10077.607571463579,316.23905620632786,148380.4294020708,3193.708015747111,97.7306641256576,33524.426170948405
164,6323.700339313477,185.12531815417455,43561.95006166654,9866.370496662243,310.0619399305875,148693.5661545408,3118.7815433194505,95.65520720682325,33621.115128500016
165,6197.585677445303,181.98511238728443,43745.50082592085,9661.277832832948,304.04582994543193,149000.60728880236,3045.917516812959,93.62676137837364,33715.75232468929
166,6074.656072314096,178.90215414296185,43925.93941458346,9462.219379138214,298.1891511001311,149301.71105323266,2975.079649280015,91.64516486031287,33808.384288133086
167,5954.821213723513,175.87584908546106,44103.32353619644,9268.975283224354,292.48697947718495,149597.0360503013,2906.2081382767915,89.70954297096368,33899.05776613907
168,5838.030063996329,172.90652607082848,44277.710102755525,9081.403200198083,286.93658046798475,149886.73559550472,2839.259537184554,87.8194345789986,33987.81854402644
169,5724.243942898205,169.99476062357544,44449.155809203075,8899.3873811981,281.5359223623758,150170.9591961194,2774.195957049864,85.9744939216137,34074.71170668391
170,5613.386561110035,167.1400641162181,44617.71840576095,8722.744367765064,276.28086579122606,150449.8554563757,2710.9650093589353,84.17391816556041,34159.78221373824
171,5505.403723903048,164.34244790668993,44783.45503850161,8551.335362158774,271.1685157151438,150723.5686579221,2649.5237548640202,82.4171328014221,34243.0741736464
172,5400.251155569797,161.6021157846831,44946.422468379504,8385.043115189752,266.1965457183676,150992.2394292157,2589.833816049448,80.70365668098246,34324.63094753914
173,5297.85983497657,158.91854202232568,45106.67796497712,8223.706461702703,261.3612347986466,151256.0068214249,2531.847454336504,79.03270090250479,34404.4955606985
174,5198.167296887028,156.29130233335763,45264.278409233586,8067.179189685988,256.6592346496151,151515.00650863265,2475.5201227939347,77.40353187735329,34482.71031420238
175,5101.135876336721,153.7205750991287,45419.27969447739,7915.364261850627,252.0886139207295,151769.36968721257,2420.81778415663,75.81568862798359,34559.3165266558
176,5006.705802784383,151.20588200121009,45571.73797150598,7768.125284328204,247.64619060074557,152019.22590050634,2367.6980730051832,74.26843585165975,34634.355103597096
177,4914.798671401042,148.74617179595043,45721.709539124975,7625.292986658194,243.3277195766784,152264.7028690881,2316.1116820380507,72.76080214167477,34707.86649625938
178,4825.377338362119,146.34145612084342,45869.24910303434,7486.777883954588,239.13131676946892,152505.92298572414,2266.02638311898,71.29228792087038,34779.88994742472
179,4738.403872318533,143.99167630884452,46014.41088647798,7352.490947194454,235.05506437273,152743.00580346424,2217.4101479056417,69.8623739901903,34850.463991961806
180,4653.800078188394,141.69561239795246,46157.24972125884,7222.269167979243,231.09473803005062,152976.07042072903,2170.215300076488,68.47005174423408,34919.6269470698
181,4571.499428422731,139.45230579395695,46297.81956921785,7095.973269362487,227.24678050901235,153205.23247178752,2124.399336873332,67.11443813784807,34987.416276371005
182,4491.484587328184,137.26211375506952,46436.17239609045,6973.55821369496,223.51047255114662,153430.6019393781,2079.9399685631984,65.7952281552709,35053.86811299391
183,4413.693832436342,135.12411847844368,46572.3607882943,6854.89692049138,219.8825443933279,153652.2886987534,2036.7975751250074,64.51157938501674,35119.0184099691
184,4338.048807920313,133.03688554534722,46706.43716402701,6739.832458115308,216.35876258998127,153870.4009391915,1994.9263276010843,63.262440138701805,35182.90260710837
185,4264.526850381612,131.0004949950079,46838.45167866077,6628.314078781232,212.9381158785878,154085.04095501374,1954.303180237965,62.047420527393236,35245.554737652456
186,4193.074553302153,129.01412703117288,46968.45465463637,6520.234420851503,209.61781898604312,154296.31026217263,1914.8931977033315,60.865755813491944,35307.0084912378
187,4123.626882073574,127.07659104716521,47096.496037882534,6415.465429736431,206.3944109897342,154504.30853651365,1876.6572091215867,59.716534350328,35367.29699011054
188,4056.150491271963,125.18755373312304,47222.62412210442,6313.939801511966,203.26627212803865,154709.13108342563,1839.5691694183197,58.59922285832422,35426.45224818823
189,3990.5955745103943,123.34618136064509,47346.88691979356,6215.560270947103,200.23082808242353,154910.87174397695,1803.5968371835256,57.51308498327773,35484.50577733464
190,3926.9041273998664,121.55137041667487,47469.33192770751,6120.215112818004,197.28502586550098,155109.62246322358,1768.7050775681848,56.457280440549354,35541.48849656144
191,3865.0407968574386,119.8026303795961,47590.00520007856,6027.836127338835,194.42713311269407,155305.4714702352,1734.8682265347989,55.43124160511623,35597.4303394753
192,3804.9622872308296,118.09921440598336,47708.952234008444,5938.340984331593,191.65495503481185,155498.5051702207,1702.05780738668,54.43430195110964,35652.360651684656
193,3746.6112644918503,116.43994164610871,47826.21815841735,5851.621710087296,188.96547442341952,155688.80857031915,1670.2400754405191,53.46562069714057,35706.308282852944
194,3689.947004866393,114.82407905610363,47941.84681836635,5767.602304130715,186.35664372136569,155876.46347247358,1639.388301118468,52.52455828988104,35759.30119946124
195,3634.941025308502,113.25122213336465,48055.88088430975,5686.230449737447,183.8271331323867,156061.54876625247,1609.4810083272719,51.610624812481504,35811.36654193655
196,3581.543178679132,111.72031555320905,48168.36286936535,5607.4136642120475,181.3743414412237,156244.1425476592,1580.4883637700564,50.723063380433686,35862.53107736225
197,3529.694805340123,110.23002949019433,48279.33474246904,5531.044022691485,178.99516316668425,156424.32135514176,1552.3774457607426,49.86101071369764,35912.821037710906
198,3479.375148573993,108.78011211904177,48388.83654312681,5457.085413182857,176.68871759194553,156602.1574375284,1525.1308429063113,49.02407051802516,35962.261537280065
199,3430.5454376835937,107.36976806626852,48496.90803828247,5385.468296714618,174.45306432002963,156777.7221461793,1498.724225587597,48.21162486828641,36010.87729231905
200,3383.1516014890135,105.99773291887333,48603.58865466832,5316.094784358117,172.2853580284124,156951.0858242991,1473.1274252934777,47.42286633298114,36058.69260027178
201,3337.1670945349865,104.66352682552875,48708.91620426549,5248.919154448405,170.1843717531546,157122.31528343528,1448.3215947986291,46.657328657247554,36105.73080400261
202,3292.555748234922,103.36637079410384,48812.92799156982,5183.877930775461,168.14830895292775,157291.4760741475,1424.284305872922,45.9144273594112,36152.014774209776
203,3249.2713805047274,102.10517306743142,48915.66084133092,5120.889124154992,166.1747777941457,157458.63256377462,1400.9893837863517,45.19345414308528,36197.56692983703
204,3207.285580389235,100.87934753953036,49017.15026208328,5059.9044592997225,164.26243233732754,157623.8462920594,1378.4180398325798,44.49392270769613,36242.408887236496
205,3166.5668203272758,99.68820147406383,49117.431080273534,5000.870050034403,162.40973938100979,157787.17727930725,1356.5504875827173,43.81530947501781,36286.561740650446
206,3127.071944918244,98.53068305441181,49216.53771594039,4943.710370529704,160.6144732124574,157948.68459677274,1335.3625215072466,43.15694699427846,36330.04618862723
